Sample:	'20211010A(EX)
File name:	G-CDs EX.FDS
Run date:	'12:23:35, 05/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Excitation
Data mode:	Fluorescence
EM WL:	535.0 nm
EX  Start WL:	270.0 nm
EX  End WL:	500.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	5.0 nm
EM Slit:	10.0 nm
PMT Voltage:	470 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

458.6	2578
458.8	2568
459.0	2556
459.2	2544
459.4	2540
459.6	2536
459.8	2529
460.0	2518
460.2	2504
460.4	2497
460.6	2488
460.8	2480
461.0	2474
461.2	2463
461.4	2454
461.6	2448
461.8	2437
462.0	2426
462.2	2412
462.4	2395
462.6	2383
462.8	2373
463.0	2365
463.2	2358
463.4	2349
463.6	2337
463.8	2329
464.0	2320
464.2	2309
464.4	2296
464.6	2282
464.8	2270
465.0	2260
465.2	2250
465.4	2242
465.6	2233
465.8	2225
466.0	2213
466.2	2202
466.4	2191
466.6	2179
466.8	2168
467.0	2159
467.2	2147
467.4	2142
467.6	2136
467.8	2127
468.0	2118
468.2	2108
468.4	2098
468.6	2089
468.8	2077
469.0	2066
469.2	2051
469.4	2037
469.6	2023
469.8	2011
470.0	1998
470.2	1987
470.4	1974
470.6	1960
470.8	1946
471.0	1932
471.2	1919
471.4	1909
471.6	1896
471.8	1885
472.0	1874
472.2	1858
472.4	1841
472.6	1823
472.8	1801
473.0	1786
473.2	1774
473.4	1763
473.6	1751
473.8	1738
474.0	1724
474.2	1714
474.4	1702
474.6	1685
474.8	1670
475.0	1654
475.2	1640
475.4	1629
475.6	1614
475.8	1597
476.0	1580
476.2	1565
476.4	1550
476.6	1535
476.8	1520
477.0	1509
477.2	1494
477.4	1482
477.6	1468
477.8	1451
478.0	1437
478.2	1427
478.4	1412
478.6	1399
478.8	1385
479.0	1368
479.2	1354
479.4	1343
479.6	1331
479.8	1323
480.0	1313
480.2	1302
480.4	1290
480.6	1277
480.8	1267
481.0	1261
481.2	1252
481.4	1245
481.6	1235
481.8	1226
482.0	1217
482.2	1208
482.4	1196
482.6	1188
482.8	1178
483.0	1170
483.2	1161
483.4	1151
483.6	1140
483.8	1131
484.0	1120
484.2	1111
484.4	1103
484.6	1094
484.8	1085
485.0	1077
485.2	1065
485.4	1058
485.6	1051
485.8	1045
486.0	1037
486.2	1030
486.4	1020
486.6	1013
486.8	1002
487.0	991.6
487.2	981.7
487.4	971.7
487.6	964.3
487.8	958.4
488.0	950.5
488.2	944.6
488.4	937.3
488.6	928.4
488.8	920.9
489.0	914.6
489.2	905.9
489.4	900.2
489.6	895.1
489.8	890.0
490.0	887.0
490.2	882.3
490.4	876.2
490.6	867.8
490.8	862.4
491.0	858.6
491.2	854.4
491.4	852.2
491.6	849.8
491.8	844.7
492.0	841.9
492.2	839.4
492.4	834.3
492.6	833.0
492.8	828.9
493.0	824.0
493.2	822.1
493.4	819.5
493.6	816.2
493.8	812.3
494.0	807.3
494.2	802.9
494.4	800.9
494.6	798.9
494.8	794.4
495.0	790.2
495.2	786.0
495.4	783.3
495.6	782.3
495.8	781.0
496.0	779.0
496.2	777.9
496.4	773.2
496.6	771.2
496.8	767.5
497.0	764.4
497.2	762.5
497.4	759.1
497.6	755.2
497.8	753.2
498.0	751.5
498.2	751.5
498.4	751.0
498.6	748.6
498.8	745.9
499.0	742.3
499.2	740.9
499.4	737.9
499.6	735.3
499.8	733.2
500.0	732.1

