Sample:	'20211010A(EM)
File name:	r-cds 1;15 2.FDS
Run date:	'08:09:17, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	800 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
648.2	215.9
648.4	223.8
648.6	224.6
648.8	221.0
649.0	214.7
649.2	218.2
649.4	222.3
649.6	228.2
649.8	229.1
650.0	228.5
650.2	224.7
650.4	225.7
650.6	224.2
650.8	227.3
651.0	236.2
651.2	241.9
651.4	244.2
651.6	239.8
651.8	236.2
652.0	236.8
652.2	245.6
652.4	251.2
652.6	253.8
652.8	249.5
653.0	249.7
653.2	242.5
653.4	241.3
653.6	237.4
653.8	243.9
654.0	242.9
654.2	247.5
654.4	243.2
654.6	246.8
654.8	246.2
655.0	250.3
655.2	246.6
655.4	248.5
655.6	247.9
655.8	253.6
656.0	255.2
656.2	254.8
656.4	247.3
656.6	243.7
656.8	237.2
657.0	242.8
657.2	247.9
657.4	257.9
657.6	255.6
657.8	250.6
658.0	239.3
658.2	235.4
658.4	236.8
658.6	248.4
658.8	253.8
659.0	259.4
659.2	253.2
659.4	252.3
659.6	244.6
659.8	243.5
660.0	246.2
660.2	249.1
660.4	251.2
660.6	260.7
660.8	258.1
661.0	261.9
661.2	256.1
661.4	252.4
661.6	246.9
661.8	246.9
662.0	248.1
662.2	249.2
662.4	250.2
662.6	254.3
662.8	250.9
663.0	251.3
663.2	254.8
663.4	252.6
663.6	258.3
663.8	260.4
664.0	258.3
664.2	254.4
664.4	258.4
664.6	256.1
664.8	250.5
665.0	245.3
665.2	246.0
665.4	248.0
665.6	255.8
665.8	254.5
666.0	248.4
666.2	240.9
666.4	236.1
666.6	241.1
666.8	246.5
667.0	246.8
667.2	252.2
667.4	255.5
667.6	246.7
667.8	249.4
668.0	245.4
668.2	244.6
668.4	243.0
668.6	242.9
668.8	239.5
669.0	241.9
669.2	243.3
669.4	252.6
669.6	253.2
669.8	254.0
670.0	251.2
670.2	243.3
670.4	229.6
670.6	232.9
670.8	236.8
671.0	240.7
671.2	241.6
671.4	244.2
671.6	232.9
671.8	232.6
672.0	232.5
672.2	228.9
672.4	226.6
672.6	227.8
672.8	225.4
673.0	226.4
673.2	236.7
673.4	244.1
673.6	245.8
673.8	241.6
674.0	237.8
674.2	229.0
674.4	225.5
674.6	222.6
674.8	219.4
675.0	221.6
675.2	224.0
675.4	223.3
675.6	222.4
675.8	221.0
676.0	216.0
676.2	215.1
676.4	212.5
676.6	213.1
676.8	216.4
677.0	217.7
677.2	213.7
677.4	214.9
677.6	216.9
677.8	213.5
678.0	209.8
678.2	201.8
678.4	198.7
678.6	203.0
678.8	207.3
679.0	206.5
679.2	205.5
679.4	201.5
679.6	205.1
679.8	203.9
680.0	203.6
680.2	202.4
680.4	198.3
680.6	195.2
680.8	199.8
681.0	200.9
681.2	206.5
681.4	206.2
681.6	201.9
681.8	199.0
682.0	200.7
682.2	195.8
682.4	195.2
682.6	197.9
682.8	200.8
683.0	199.2
683.2	196.5
683.4	190.1
683.6	187.3
683.8	188.5
684.0	188.2
684.2	189.7
684.4	194.2
684.6	194.1
684.8	194.6
685.0	192.3
685.2	188.3
685.4	193.2
685.6	190.8
685.8	186.2
686.0	188.4
686.2	184.3
686.4	180.3
686.6	178.1
686.8	167.6
687.0	171.6
687.2	181.3
687.4	181.3
687.6	183.1
687.8	180.0
688.0	178.7
688.2	181.4
688.4	185.3
688.6	184.2
688.8	181.5
689.0	177.4
689.2	172.8
689.4	168.8
689.6	165.1
689.8	163.1
690.0	163.4
690.2	168.3
690.4	169.4
690.6	171.8
690.8	169.0
691.0	170.5
691.2	170.5
691.4	175.1
691.6	174.0
691.8	171.3
692.0	172.6
692.2	174.4
692.4	170.0
692.6	167.2
692.8	164.1
693.0	164.8
